ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,lat,lon,Location
10837991,JA140266,02-03-2017 12:50,021XX S WENTWORTH AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,LIBRARY,TRUE,FALSE,914,9,25,34,26,1175371,1890116,2017,02/14/2017 03:49:42 PM,41.85385617,-87.6318034,"(41.853856172, -87.631803395)"
10837992,JA140191,01/31/2017 09:00:00 PM,046XX W DICKENS AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2522,25,31,19,6,1144852,1913551,2017,02/14/2017 03:49:42 PM,41.91879414,-87.74322885,"(41.918794143, -87.743228853)"
10837999,JA140076,02-03-2017 10:11,042XX N MILWAUKEE AVE,460,BATTERY,SIMPLE,OTHER,FALSE,FALSE,1624,16,45,15,08B,1142426,1927650,2017,02/14/2017 03:49:42 PM,41.95752862,-87.75179092,"(41.957528621, -87.751790922)"
10838000,JA140136,02-03-2017 03:00,074XX S VERNON AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,323,3,6,69,5,1180535,1855713,2017,02/14/2017 03:49:42 PM,41.75933411,-87.61390678,"(41.759334114, -87.613906784)"
10838002,JA140074,02-03-2017 08:34,062XX S LAFLIN ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,TRUE,FALSE,713,7,16,67,18,1167403,1863368,2017,02/14/2017 03:49:42 PM,41.78063171,-87.66181603,"(41.780631714, -87.661816029)"
10838005,JA139208,01/30/2017 02:00:00 PM,051XX W MELROSE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,1634,16,30,15,14,1141452,1921120,2017,02/14/2017 03:49:42 PM,41.93962778,-87.75553355,"(41.939627775, -87.755533546)"
10838007,JA140347,02-02-2017 19:30,050XX N MAJOR AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1622,16,45,11,6,1137176,1933281,2017,02/14/2017 03:49:42 PM,41.97307675,-87.77095603,"(41.973076749, -87.770956034)"
10838009,JA140362,02-02-2017 22:00,067XX S MORGAN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,FALSE,FALSE,724,7,17,68,7,1170805,1860170,2017,02/14/2017 03:49:42 PM,41.77178244,-87.64943693,"(41.771782439, -87.649436929)"
10838010,JA140371,02-02-2017 21:00,053XX W VAN BUREN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1522,15,29,25,14,1140874,1897494,2017,02/14/2017 03:49:42 PM,41.874806,-87.75824006,"(41.874806004, -87.758240062)"
10838011,JA140278,02-03-2017 12:45,012XX S KOLIN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,TRUE,1011,10,24,29,04A,1147580,1893999,2017,02/14/2017 03:49:42 PM,41.86508937,-87.73370783,"(41.865089368, -87.733707829)"
10838012,JA140205,02-02-2017 20:30,061XX S THROOP ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,713,7,16,67,08B,1168683,1863840,2017,02/14/2017 03:49:42 PM,41.78189941,-87.65710971,"(41.781899414, -87.657109706)"
10838013,JA140301,02-03-2017 13:00,101XX S AVENUE L,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,432,4,10,52,08B,1201820,1838406,2017,02/14/2017 03:49:42 PM,41.71132756,-87.53648688,"(41.71132756, -87.536486883)"
10838015,JA140178,02-03-2017 10:30,013XX W 110TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,2234,22,34,75,26,1169410,1831490,2017,02/14/2017 03:49:42 PM,41.69311072,-87.65537864,"(41.693110719, -87.65537864)"
10838018,JA140379,02-01-2017 00:01,093XX S RHODES AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,633,6,9,49,6,1181547,1843080,2017,02/14/2017 03:49:42 PM,41.72464445,-87.61058673,"(41.724644448, -87.610586726)"
10838020,JA140387,01/30/2017 12:00:00 PM,024XX E 87TH ST,810,THEFT,OVER $500,OTHER,FALSE,FALSE,423,4,7,46,6,1194099,1847770,2017,02/14/2017 03:49:42 PM,41.73721584,-87.56445612,"(41.737215842, -87.564456124)"
10838021,JA140285,02-03-2017 11:50,008XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1833,18,42,8,6,1177338,1906181,2017,02/14/2017 03:49:42 PM,41.89789513,-87.62409661,"(41.897895128, -87.624096605)"
10838022,JA138982,02-02-2017 11:15,056XX S COTTAGE GROVE AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,233,2,20,40,08B,1182540,1867888,2017,02/14/2017 03:49:42 PM,41.79269722,-87.6061813,"(41.792697215, -87.606181304)"
10838023,JA140326,02-03-2017 13:05,050XX S LAKE SHORE DR SB,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,222,2,4,39,5,1189120,1871889,2017,02/14/2017 03:49:42 PM,41.80352098,-87.58192542,"(41.803520976, -87.581925417)"
10838024,JA139976,02-01-2017 11:00,020XX W 119TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2234,22,34,75,26,1165063,1825713,2017,02/14/2017 03:49:42 PM,41.6773504,-87.67145644,"(41.677350403, -87.67145644)"
10838026,JA135229,01/30/2017 11:55:00 AM,035XX S GILES AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,212,2,2,35,08B,1178842,1881615,2017,02/14/2017 03:49:42 PM,41.83045031,-87.61932306,"(41.830450306, -87.61932306)"
10838028,JA140336,02-03-2017 13:50,007XX E 104TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,512,5,9,50,08B,1182830,1836153,2017,02/14/2017 03:49:42 PM,41.70560625,-87.60610147,"(41.70560625, -87.606101465)"
10838029,JA140295,02-03-2017 11:50,037XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1011,10,24,29,18,1151592,1894452,2017,02/14/2017 03:49:42 PM,41.86625461,-87.71896767,"(41.86625461, -87.718967674)"
10838033,JA140401,01/31/2017 01:30:00 PM,028XX N MOBILE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2511,25,29,19,26,1133921,1918181,2017,02/14/2017 03:49:42 PM,41.93169878,-87.78328196,"(41.931698783, -87.783281962)"
10838035,JA140400,02-02-2017 21:00,015XX N KEDVALE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2534,25,30,23,08B,1148431,1910016,2017,02/14/2017 03:49:42 PM,41.90902543,-87.73017047,"(41.909025428, -87.730170467)"
10838036,JA140384,02-01-2017 18:00,092XX S STONY ISLAND AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,413,4,8,48,6,1188402,1844127,2017,02/14/2017 03:49:42 PM,41.72735685,-87.58544391,"(41.727356848, -87.58544391)"
10838037,JA140435,02-03-2017 15:15,008XX N HOMAN AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,FALSE,FALSE,1121,11,27,23,11,1153552,1905563,2017,02/14/2017 03:49:42 PM,41.89670563,-87.71147674,"(41.896705626, -87.711476738)"
10838038,JA140148,02-03-2017 10:00,016XX W 79TH ST,2027,NARCOTICS,POSS: CRACK,APARTMENT,TRUE,FALSE,611,6,21,71,18,1166608,1852321,2017,02/14/2017 03:49:42 PM,41.75033427,-87.66504531,"(41.75033427, -87.665045312)"
10838041,JA140314,01/19/2017 09:00:00 AM,020XX W MOFFAT ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1434,14,32,22,11,1162454,1912462,2017,02/14/2017 03:49:42 PM,41.91545528,-87.67858775,"(41.915455281, -87.678587749)"
10838042,JA140436,02-03-2017 07:00,007XX W MONROE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,121,1,2,28,6,1171735,1899804,2017,02/14/2017 03:49:42 PM,41.8805215,-87.6448636,"(41.880521497, -87.644863603)"
10838043,JA139530,01/31/2017 04:30:00 AM,013XX N KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1422,14,26,23,08B,1154785,1908685,2017,02/14/2017 03:49:42 PM,41.90524807,-87.70686438,"(41.905248066, -87.706864379)"
10838044,JA139551,02-02-2017 07:55,019XX N CAMPBELL AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1434,14,1,22,5,1159388,1912966,2017,02/14/2017 03:49:42 PM,41.91690197,-87.68983806,"(41.916901972, -87.689838062)"
10838045,JA140334,02-02-2017 20:30,031XX N RIDGEWAY AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,2523,25,30,21,6,1150946,1920495,2017,02/14/2017 03:49:42 PM,41.93773182,-87.72065641,"(41.937731824, -87.720656406)"
